run number,density,similar-wanted,step,percent-similar
3366,70,20,5,57.04309656823623
3367,70,20,6,58.530388899745944
3359,68,74,112,99.74669802786322
3368,70,20,7,57.413249211356465
3369,70,22,8,63.389626055488534
3371,70,22,7,60.7243385250516
3370,70,22,11,62.40556660039761
3372,70,22,7,64.39716312056738
3374,70,22,8,62.67381803734605
3373,70,22,11,61.64670089370603
3375,70,22,11,61.25696101829753
3376,70,22,7,63.33575581395349
3377,70,24,9,63.76955058404277
3378,70,24,7,62.293167218220745
3379,70,24,10,62.131211180124225
3380,70,24,7,61.4746369979257
3381,70,24,9,61.944599367912254
3382,70,24,7,62.6108281456329
3383,70,24,8,61.095392077607116
3384,70,24,11,62.699316628701595
3385,70,26,11,65.1438569206843
3387,70,26,16,66.94568814483162
3386,70,26,13,66.06909430438841
3388,70,26,10,66.23619689313121
3389,70,26,9,67.29026036644166
3390,70,26,10,67.98185046360229
3391,70,26,13,65.57286892758937
3392,70,26,14,65.04909365558912
3394,70,28,9,67.56598240469208
3393,70,28,10,65.95242775702772
3395,70,28,11,67.5517890772128
3396,70,28,10,64.88345433702713
3398,70,28,8,67.93571838530707
3397,70,28,9,67.8079571537873
3399,70,28,11,66.99732926363984
3400,70,28,13,67.11754619927606
3402,70,30,14,73.39968774395004
3401,70,30,12,74.53018792483007
3403,70,30,14,71.92192192192192
3404,70,30,12,70.97902097902097
3405,70,30,14,71.6685979142526
3407,70,30,9,71.98164039113949
3406,70,30,18,71.96352347691113
3409,70,32,8,71.5065913370998
3408,70,30,12,71.362497591058
3410,70,32,11,72.73795534665099
3411,70,32,15,71.36354640807441
3412,70,32,16,72.90223248652809
3413,70,32,11,73.90625
3415,70,32,10,72.64628467301073
3414,70,32,17,72.00075571509541
3416,70,32,9,72.39370995923122
3417,70,34,12,78.22265625
3419,70,34,11,78.77807384849639
3418,70,34,10,78.49796235202795
3420,70,34,10,77.7633289986996
3421,70,34,15,80.85237801111798
3423,70,34,12,78.88888888888889
3422,70,34,13,78.574144486692
3424,70,34,14,80.7858620041361
3425,70,36,14,80.4448742746615
3427,70,36,13,78.4088771863833
3428,70,36,12,79.01620144446613
3426,70,36,19,79.10835665733707
3429,70,36,11,80.01194505275731
3431,70,36,16,80.95145631067962
3432,70,36,14,79.93408297789841
3430,70,36,24,79.9195248131826
3433,70,38,12,79.44100543987996
3434,70,38,13,79.8629615531024
3435,70,38,18,80.24572854674602
3436,70,38,14,80.78846153846155
3437,70,38,13,79.39078465394255
3439,70,38,13,79.95347033734005
3440,70,38,20,81.92255302588052
3438,70,38,23,80.54876902837812
3441,70,40,13,79.57952112127701
3442,70,40,13,80.69544364508393
3443,70,40,13,80.49895258046087
3444,70,40,15,80.57827658360281
3445,70,40,15,80.96339113680155
3446,70,40,12,79.10210568136671
3447,70,40,20,80.69482826687721
3449,70,42,12,84.1254752851711
3448,70,40,14,80.27919779787652
3451,70,42,14,83.66037043829085
3450,70,42,21,84.86768542676108
3453,70,42,15,84.16220351951033
3452,70,42,21,84.3944099378882
3454,70,42,14,84.3167701863354
3456,70,42,15,84.36329588014982
3457,70,44,15,86.51171651743189
3455,70,42,20,84.32155074116305
3458,70,44,18,88.09806247528668
3459,70,44,19,88.3178493773473
3460,70,44,18,87.67427763184482
3461,70,44,13,87.14988644965935
3462,70,44,15,87.75430359937401
3463,70,44,17,87.172979304959
3464,70,44,16,87.03703703703704
3466,70,46,14,87.83130199264848
3465,70,46,28,88.1941820929354
3467,70,46,14,87.59763764526576
3468,70,46,17,86.64370455415231
3469,70,46,16,88.78452000751456
3472,70,46,14,87.50714149685774
3470,70,46,24,88.54600530102233
3471,70,46,18,88.51241166878057
3474,70,48,13,88.01951219512195
3475,70,48,13,88.48639122772664
3473,70,48,16,87.65025203567274
3476,70,48,15,87.52133510335672
3477,70,48,12,86.77966101694915
3478,70,48,15,88.76881512929371
3479,70,48,15,87.14030561619369
3480,70,48,23,88.56088560885608
3481,70,50,20,88.60307923394669
3482,70,50,24,86.61064425770309
3484,70,50,18,88.39285714285714
3483,70,50,24,87.37373737373737
3486,70,50,14,88.13926042486231
3485,70,50,19,88.04306036139945
3487,70,50,15,88.398887564561
3489,70,52,24,93.71657754010695
3488,70,50,20,88.16449348044132
3490,70,52,25,93.77194603585289
3352,68,72,90,99.75853742669885
3492,70,52,27,94.16997917849706
3491,70,52,34,94.2354031510658
3494,70,52,20,94.84398782343987
3493,70,52,25,95.10742011193356
3495,70,52,23,94.55730164814105
3496,70,52,22,94.69093667045885
3497,70,54,26,94.93530499075786
3498,70,54,34,94.74169741697416
3499,70,54,28,94.41997063142438
3500,70,54,28,94.59702028361156
3501,70,54,24,94.63894967177244
3502,70,54,30,94.46752265861026
3503,70,54,27,94.55491544322616
3504,70,54,34,94.15342358249951
3506,70,56,20,94.53456933178833
3505,70,56,29,95.46407470935773
3507,70,56,22,94.44543668512235
3509,70,56,25,93.82510630430764
3508,70,56,28,93.8821752265861
3510,70,56,27,95.45813586097947
